3.320 E 150.4590 NaIV Sodium
171.000 C 150.54270 NaIV Sodium
156.000 C 150.6420 NaIV Sodium
98.700 C 150.68670 NaIV Sodium
31.000 D 150.70970 NaIV Sodium
55.100 D+ 150.70970 NaIV Sodium
27.300 D+ 150.94240 NaIV Sodium
47.000 D+ 150.96670 NaIV Sodium
167.000 D+ 150.9680 NaV Sodium
171.000 D+ 151.05030 NaIV Sodium
162.000 B+ 151.1270 NaV Sodium
154.000 B+ 151.1270 NaV Sodium
116.000 D+ 151.1880 NaV Sodium
67.000 D 151.29940 NaIV Sodium
69.000 D 151.3030 NaV Sodium
133.000 C 155.08260 NaIV Sodium
188.000 C 155.23980 NaIV Sodium
148.000 C 155.34860 NaIV Sodium
345.000 C 155.44770 NaIV Sodium
63.000 C 155.46000 NaIV Sodium
140.000 C 155.51040 NaIV Sodium
481.000 C+ 155.51040 NaIV Sodium
51.300 D+ 155.61970 NaIV Sodium
593.000 C 155.68720 NaIV Sodium
17.900 D+ 155.68720 NaIV Sodium
100.000 C 155.71290 NaIV Sodium
150.000 C 155.77620 NaIV Sodium
157.000 C 155.82760 NaIV Sodium
64.500 C 156.50840 NaIV Sodium
292.000 C+ 156.53740 NaIV Sodium
107.000 C 156.76350 NaIV Sodium
212.000 C 156.77980 NaIV Sodium
152.000 C 156.88000 NaIV Sodium
48.200 B+ 157.0360 NaV Sodium
57.900 B+ 157.0360 NaV Sodium
366.000 C+ 157.08410 NaIV Sodium
190.000 B+ 157.2090 NaV Sodium
218.000 B+ 157.5110 NaV Sodium
35.000 D 157.59480 NaIV Sodium
199.000 C 157.77920 NaIV Sodium
2.150 C 158.2250 NaVI Sodium
5.310 D 158.5170 NaVI Sodium
604.000 C+ 162.44790 NaIV Sodium
432.000 C+ 163.18950 NaIV Sodium
138.000 B+ 163.6160 NaV Sodium
356.000 C 163.83960 NaIV Sodium
106.000 B+ 163.9300 NaV Sodium
702.000 C+ 164.84120 NaIV Sodium
200.000 D+ 167.5100 NaV Sodium
333.000 C+ 168.0930 NaIV Sodium
83.800 C 168.0930 NaIV Sodium
9.350 D+ 168.0930 NaIV Sodium
245.000 C+ 168.41100 NaIV Sodium
137.000 C 168.41100 NaIV Sodium
181.000 C 168.54560 NaIV Sodium
141.000 C 170.6310 NaV Sodium
