10.000 E 361.7580 MoV Molybdenum
9.000 E 362.1600 MoV Molybdenum
3.700 E 362.7890 MoV Molybdenum
7.000 E 363.0710 MoV Molybdenum
0.600 E 363.7750 MoV Molybdenum
6.000 E 367.3630 MoV Molybdenum
0.800 E 367.8270 MoV Molybdenum
0.600 E 367.9080 MoV Molybdenum
4.000 E 369.9390 MoV Molybdenum
2.600 E 370.0280 MoV Molybdenum
3.700 B 371.2730 MoV Molybdenum
1.400 E 371.3500 MoV Molybdenum
4.000 E 371.9280 MoV Molybdenum
3.500 E 372.1660 MoV Molybdenum
10.000 E 372.2350 MoV Molybdenum
1.700 E 372.3180 MoV Molybdenum
14.000 E 372.4780 MoV Molybdenum
0.900 E 373.3960 MoV Molybdenum
1.800 E 374.1790 MoV Molybdenum
102.000  374.4650 MoVI Molybdenum
0.040 E 374.5390 MoV Molybdenum
3.400 E 375.5470 MoV Molybdenum
1.300 E 375.6630 MoV Molybdenum
1.200 E 375.8440 MoV Molybdenum
1.570 B 375.9050 MoV Molybdenum
19.000 E 376.4470 MoV Molybdenum
1.300 E 376.8220 MoV Molybdenum
117.000  377.5400 MoVI Molybdenum
0.100 E 377.8320 MoV Molybdenum
0.170 E 377.9320 MoV Molybdenum
7.130  378.1240 MoVI Molybdenum
0.900 E 380.0530 MoV Molybdenum
1.800 E 380.7430 MoV Molybdenum
31.000 E 389.4570 MoV Molybdenum
117.000 C 392.4760 MoV Molybdenum
121.000 C 393.4050 MoV Molybdenum
21.000 E 393.6040 MoV Molybdenum
50.000 E 393.8730 MoV Molybdenum
9.000 E 395.7650 MoV Molybdenum
60.000 D 395.9590 MoV Molybdenum
15.000 E 396.0900 MoV Molybdenum
5.000 E 403.3350 MoV Molybdenum
13.900 B 403.4160 MoV Molybdenum
3.200 E 404.5820 MoV Molybdenum
10.000 E 405.1870 MoV Molybdenum
18.000 E 406.9150 MoV Molybdenum
12.000 E 407.3090 MoV Molybdenum
16.000 E 409.2820 MoV Molybdenum
5.000 E 409.8040 MoV Molybdenum
180.000 C 410.8340 MoV Molybdenum
180.000 C 411.4400 MoV Molybdenum
310.000 C 411.6900 MoV Molybdenum
10.000 E 412.3180 MoV Molybdenum
10.000 E 412.4460 MoV Molybdenum
3.800 E 412.5420 MoV Molybdenum
210.000 C 412.8100 MoV Molybdenum
28.000 E 413.5140 MoV Molybdenum
2.100 E 413.6520 MoV Molybdenum
14.400 B 414.1060 MoV Molybdenum
24.000 E 414.4770 MoV Molybdenum
28.000 E 415.2150 MoV Molybdenum
19.000 E 415.2840 MoV Molybdenum
89.000 C 415.2840 MoV Molybdenum
100.000 E 415.5300 MoV Molybdenum
0.500 E 416.3690 MoV Molybdenum
23.000 E 416.6640 MoV Molybdenum
70.000 D 417.7250 MoV Molybdenum
11.000 E 417.8850 MoV Molybdenum
25.000 E 417.9940 MoV Molybdenum
21.000 E 419.1940 MoV Molybdenum
50.000 D 419.4160 MoV Molybdenum
10.000 E 419.5120 MoV Molybdenum
6.000 E 420.4960 MoV Molybdenum
7.000 E 420.6300 MoV Molybdenum
99.000 C 420.9080 MoV Molybdenum
50.000 D 421.0180 MoV Molybdenum
86.000 C 421.0590 MoV Molybdenum
4.000 E 421.2870 MoV Molybdenum
0.200 E 422.0540 MoV Molybdenum
15.400 B 422.3530 MoV Molybdenum
3.300 E 422.5720 MoV Molybdenum
3.100 E 422.6690 MoV Molybdenum
50.000 E 423.5060 MoV Molybdenum
3.800 E 423.9020 MoV Molybdenum
72.000 B 424.3820 MoV Molybdenum
80.000 D 424.9250 MoV Molybdenum
130.000 C 425.0210 MoV Molybdenum
26.000 E 425.8750 MoV Molybdenum
8.000 E 426.1900 MoV Molybdenum
11.000 E 426.3940 MoV Molybdenum
60.000 D 426.8400 MoV Molybdenum
3.800 E 427.1210 MoV Molybdenum
1.000 E 428.4660 MoV Molybdenum
70.000 D 431.8490 MoV Molybdenum
2.700 E 435.1350 MoV Molybdenum
4.000 E 436.2970 MoV Molybdenum
17.000 E 437.9390 MoV Molybdenum
0.500 E 441.3140 MoV Molybdenum
5.000 E 445.3860 MoV Molybdenum
0.800 E 445.6890 MoV Molybdenum
0.350 E 447.2350 MoV Molybdenum
5.450  448.7570 MoVI Molybdenum
28.000 E 452.2240 MoV Molybdenum
5.900  452.8040 MoVI Molybdenum
9.550  457.9660 MoVI Molybdenum
89.000 B 458.2910 MoV Molybdenum
17.800  468.5360 MoVI Molybdenum
23.000 E 489.6390 MoV Molybdenum
5.100  501.9540 MoVI Molybdenum
0.030 E 517.4910 MoV Molybdenum
126.000 B 533.6570 MoV Molybdenum
6.880  533.8140 MoVI Molybdenum
2.800 E 536.3850 MoV Molybdenum
0.012 E 536.5730 MoV Molybdenum
5.000 E 536.9460 MoV Molybdenum
2.700 E 537.9600 MoV Molybdenum
2.000 E 538.7200 MoV Molybdenum
9.120  540.5460 MoVI Molybdenum
59.800  541.2800 MoVI Molybdenum
2.400 E 541.5830 MoV Molybdenum
9.790  542.4960 MoVI Molybdenum
