(1720186.68841) AA 5813.322512000 BeIV Beryllium
(1720184.50175) AA 5813.329901000 BeIV Beryllium
(1707247.04668) AA 5857.383101000 BeIV Beryllium
(1707243.57429) AA 5857.395014000 BeIV Beryllium
(1685787.023070) AA 5931.947431000 BeIV Beryllium
(1685781.02269) AA 5931.968545000 BeIV Beryllium
(1646280.88582) AA 6074.297580000 BeIV Beryllium
(1646269.16610) AA 6074.340822000 BeIV Beryllium
(1560928.30867) AA 6406.444130000 BeIV Beryllium
(1560900.52810) AA 6406.558150000 BeIV Beryllium
(1317073.002568) AA 7592.593562000 BeIV Beryllium
(1316979.24398) AA 7593.134095000 BeIV Beryllium
1102105+x  80317.000 BeII Beryllium
1102105+x  80317.000 BeII Beryllium
1102105+x  80317.000 BeII Beryllium
1102105+x  80317.000 BeII Beryllium
1102105+x  80317.000 BeII Beryllium
1098900  81200.0 BeII Beryllium
1098900  81200.0 BeII Beryllium
1098900  81200.0 BeII Beryllium
1098900  81200.0 BeII Beryllium
118761.32 A 84202.50000 BeII Beryllium
118760.51 A 84203.07000 BeII Beryllium
1049908.3+x  86719.000 BeII Beryllium
1049908.3+x  86719.000 BeII Beryllium
1049908.3+x  86719.000 BeII Beryllium
1049908.3+x  86719.000 BeII Beryllium
1049908.3+x  86719.000 BeII Beryllium
1049908.3+x  86719.000 BeII Beryllium
1049908.3+x  86719.000 BeII Beryllium
1049908.3+x  86719.000 BeII Beryllium
1101320  87760.00 BeII Beryllium
1101320  87760.00 BeII Beryllium
1101320  87760.00 BeII Beryllium
1101320  87760.00 BeII Beryllium
141461.15 AA 91297.2000 BeII Beryllium
141461.15 AA 91302.7000 BeII Beryllium
141461.15 AA 91302.7000 BeII Beryllium
1101320  92410.00 BeII Beryllium
1101320  92410.00 BeII Beryllium
1101320  92410.00 BeII Beryllium
140020.58 AA 92513.9000 BeII Beryllium
140020.58 AA 92519.6000 BeII Beryllium
140020.58 AA 92519.6000 BeII Beryllium
106370  94010.00 BeI Beryllium
106220  94140.00 BeI Beryllium
106080  94270.00 BeI Beryllium
137919.17 AA 94348.1000 BeII Beryllium
137919.17 AA 94354.0000 BeII Beryllium
137919.17 AA 94354.0000 BeII Beryllium
105830a  94490.00 BeI Beryllium
105520a  94770.00 BeI Beryllium
